Place Name,Address,City,Zip,State,Place ID,Longitude,Latitude,Status,Last Contacted,Contact Name,Email/Contact,Phone Number,Booking Contact,Contact Type,Priority,Next Follow Up,Past Gigs,Future Gigs,Last Played,Next Booked,Past Gig Count,Future Gig Count,Total Gig Count,Last Synced,Venue Type,Website,Notes
1285 Winery,1285 W Hanley Rd,Mansfield,44906,OH,1285-winery-mansfield-oh-44906,-82.558241,40.695955,Needs Review,,,,419-884-1797,,,,,,,,,,,,,Winery,,
17 River Grille,17 River St,Chagrin Falls,44022,OH,17-river-grille-chagrin-falls-oh-44022,-81.39287,41.431411,Needs Review,,,,440-893-0797,,,,,,,,,,,,,Restaurant,,
1875 Winery & Restaurant,109 OH-44,Hartville,44632,OH,1875-winery-and-restaurant-hartville-oh-44632,-81.249368,40.991313,Not Contacted Yet,Fri Apr 12 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Amanda,1875winery@gmail.com,330-935-2100,,,2,,,,,,,,2,2026-05-07T04:36:16.000Z,Winery,,
1899 Indoor Golf,3094 Glenwood Blvd,Twinsburg,44087,OH,1899-indoor-golf-twinsburg-oh-44087,-81.417626,41.341579,Not Contacted Yet,02/20/2025,Scott,Scot@1899golf.com,330-840-7146,,,4,,,,,,,,,,Other Venue,http://www.1899golf.com/,
1899 Indoor Golf,4700 Everhard Rd NW,Canton,44718,OH,1899-indoor-golf-canton-oh-44718,-81.437177,40.855154,Not Contacted Yet,02/20/2025,Scott,,330-639-4928,,,4,,,,,,,,,,Other Venue,http://www.1899golf.com/,
1899 Pub,38228 Glenn Ave,Willoughby,44094,OH,1899-pub-willoughby-oh-44094,-81.406088,41.640487,Needs Review,10/18/2025,,,440-269-7899,,,,,,,,,,,,,Pub/Bar,,
1899 Social Club,20040 Van Aken Blvd,Shaker Heights,44122,OH,1899-social-club-shaker-heights-oh-44122,-81.539177,41.466279,Needs Review,,,,216-415-5541,,,4,,,,,,,,,,Other Venue,http://www.1899golf.com/,
1922 Coffee And Brew,1505 Madison Ave,Painesville,44077,OH,1922-coffee-and-brew-painesville-oh-44077,-81.198305,41.72657,Not Contacted Yet,10/18/2025,Lori tt her,,440-358-1560,,,,,,,,,,,,,Brewery,,
5 Points Coffee & Tea 3600 W Park Rd,Cleveland,OH 44111,,OH,5-points-coffee-and-tea-3600-w-park-rd-cleveland-oh-44111,-81.809877,41.455239,Told No / Closed / No Music,,,,,,,4,,,,,,,,,,Coffee Shop,,Previous CRM status: Closed and Not Booking
750ml Wine,2287 W Market St,Akron,,OH,750ml-wine-akron-oh,-81.588253,41.117889,Booked,Fri Apr 12 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Brian@750mlwines.com,http://www.750mlwines.com,330-794-5754,,Fb,4,,,,,,,,4,2026-05-07T04:36:16.000Z,Winery,,
8th Day Brewing Company 11782 Washington St,Chagrin Falls,OH 44023,,OH,8th-day-brewing-company-11782-washington-st-chagrin-falls-oh-44023,-81.217306,41.387449,Open Microphone,05/25/2024,Dani Auborn,danni@8thdaybrewing.com,440-708-7028,,email/stop,3,,,,,,,,3,2026-05-07T04:36:16.000Z,Brewery,,Open microphone
