Date,Event Name,Address,Time
"Saturday, December 16, 2023",Just Dee Dee Music at Das Weinhaus,Das Weinhaus,Not Listed
"Friday, January 26, 2024",JDDM Live @ The Ugly Bunny Winery,"16104 OH-39, Loudonville, OH 44842",Not Listed
"Saturday, January 27, 2024",JDDM Live @ The Pint & Pie Works,"1925 N Cleveland Massillon Rd, Akron, OH 44333",Not Listed
"Saturday, February 03, 2024",JDDM Live @ Das Weinhaus,"3232 Erhart Rd, Litchfield, OH 44253",Not Listed
"Saturday, February 17, 2024",JDDM Live @ Hoppy Dude Brews,"1369 Ridge Rd, Hinckley, OH 44233",Not Listed
"Friday, February 23, 2024",JustDeeDeeMuisc Live @ Bascule Brewery and Public House,"1397 Colorado Ave, Lorain, OH 44052",Not Listed
"Saturday, March 02, 2024",Just Dee Dee back at Das Weinhaus,"3232 Erhart Road, Litchfield, OH, United States, Ohio 44253",Not Listed
"Friday, March 15, 2024",JustDeeDeeMuisc Live @ AMY'S ARBORS,"6735 Center Rd, Valley City, OH 44280",Not Listed
"Thursday, March 28, 2024",JustDeeDeeMuisc Live @ Lost Trail Winery And Vineyard,"5228 State St NE, Canton, OH 44721",Not Listed
"Saturday, April 13, 2024",JustDeeDeeMusic Live @ Uncle Chuck's Place,"19 W Main St, Wakeman, OH 44889",Not Listed
"Sunday, April 14, 2024",JustDeeDeeMuisc Live @ Das Weinhaus,"3232 Erhart Rd, Litchfield, OH 44253",Not Listed
"Saturday, April 20, 2024",JustDeeDeeMuisc Live @ Hoppy Dude Brews,"1369 Ridge Rd, Hinckley, OH 44233",Not Listed
"Friday, April 26, 2024",JustDeeDeeMuisc Live @ AMY'S ARBORS,"6735 Center Rd, Valley City, OH 44280",Not Listed
"Saturday, April 27, 2024",JustDeeDeeMuisc Live @ The Pint & Pie Works,"1925 N Cleveland Massillon Rd, Akron, OH 44333",Not Listed
"Friday, May 03, 2024",JustDeeDeeMusic Live @ Kalaveras (Modern Mexican Cocina & Bar),"11204 Royalton Rd, North Royalton, OH 44133",Not Listed
"Saturday, May 04, 2024",JustDeeDeeMusic Live @ Uncle Chuck's Place,"19 W Main St, Wakeman, OH 44889",Not Listed
"Sunday, May 05, 2024",JustDeeDeeMuisc Live @ Das Weinhaus,"3232 Erhart Rd, Litchfield, OH 44253",Not Listed
"Friday, May 10, 2024",JustDeeDeeMuisc Live @ Sense By The Falls,"1749 Front St Unit C, Cuyahoga Falls, OH 44221",Not Listed
"Saturday, May 11, 2024",JustDeeDeeMusic Live @ Unplugged Brewing Co.,"201 E Bridge St, Elyria, OH 44035",Not Listed
"Saturday, May 11, 2024",Just Dee Dee Music & Gio's Pizza Lab,"201 E Bridge St, Elyria, OH",Not Listed
"Friday, May 17, 2024",JustDeeDeeMusic Live @ The Cleveland Winery / Vino Veritas Cellars,"4103 Memphis Ave, Cleveland, OH 44109",Not Listed
"Wednesday, May 22, 2024",JustDeeDeeMusic Live @ Caston & Main Brew Yard,"5010 S Main St, Akron, OH 44319",Not Listed
"Friday, May 24, 2024",JustDeeDeeMuisc Live @ Blue Monkey Brewing Company,"5540 Wallings Rd, North Royalton, OH 44133",Not Listed
"Friday, June 07, 2024",JustDeeDeeMusic Live @ The Cleveland Winery / Vino Veritas Cellars,"4103 Memphis Ave, Cleveland, OH 44109",Not Listed
"Thursday, June 13, 2024",JustDeeDeeMusic Live @ Lincoln Way Vineyards,"9050 W Old Lincoln Way, Wooster, OH 44691",Not Listed
"Friday, June 14, 2024",JustDeeDeeMusic Live @ Kalaveras (Modern Mexican Cocina & Bar),"11204 Royalton Rd, North Royalton, OH 44133",Not Listed
"Sunday, June 16, 2024",JustDeeDeeMuisc Live @ Das Weinhaus,"3232 Erhart Rd, Litchfield, OH 44253",Not Listed
"Thursday, July 18, 2024",JustDeeDeeMusic Live @ New Berlin Brewing Company,"1664 N Main St, North Canton, OH 44720",Not Listed
"Saturday, July 20, 2024",JustDeeDeeMusic Live @ Marie's Restaurant,"130 E Smokerise Dr, Wadsworth, OH 44281",Not Listed
"Saturday, July 20, 2024",JustDeeDeeMusic Live @ Seville Farm Market,"73 W Main St, Seville, OH, United States, Ohio",Not Listed
"Sunday, July 21, 2024",JustDeeDeeMuisc Live @ Das Weinhaus,"3232 Erhart Rd, Litchfield, OH 44253",Not Listed
"Friday, July 26, 2024",JustDeeDeeMusic Live @ The Village Inn,"5875 Longacre Ln, Chippewa Lake, OH 44215",Not Listed
"Saturday, July 27, 2024",JustDeeDeeMusic Live @ Sense By The Falls,"1749 Front St Unit C, Cuyahoga Falls, OH 44221",Not Listed
"Sunday, July 28, 2024",JustDeeDeeMusic Live @ The Brew Kettle Brunswick,"5288 Center Rd, Brunswick, OH 44212",Not Listed
"Friday, August 02, 2024",JustDeeDeeMusic Live @ Wolf Wine Company,"50738 OH-113, Amherst, OH 44001",Not Listed
"Saturday, August 03, 2024",JustDeeDeeMuisc Live @ The Pint & Pie Works,"1925 N Cleveland Massillon Rd, Akron, OH 44333",Not Listed
"Friday, August 09, 2024",JustDeeDeeMusic Live @ Tricky Tortoise Brewing Co.,"4057 Erie St, Willoughby, OH 44094",Not Listed
