gigId,calendarEventId,calendarId,sourceCalendarName,venueSiteId,venueName,gigDate,startTime,endTime,status,address,location,summary,description,isPrivateEvent,isAllDay,sourceUrl,lastSeenAt,updatedAt
justdeedeemusic-gmail-com-45ml7g6j966749fa3kmdpfkmk7-google-com,45ml7g6j966749fa3kmdpfkmk7@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Private Event,2024-03-29,,,COMPLETED,,,Private Event,,TRUE,TRUE,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-7r5ias9jnkv7k417hrmmhc2bko-google-com,7r5ias9jnkv7k417hrmmhc2bko@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Private Event,2024-03-30,,,COMPLETED,,,Private Event,,TRUE,TRUE,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-0ag4harbb9v4jtoo2ms6m3genq-google-com,0ag4harbb9v4jtoo2ms6m3genq@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Private Event,2024-04-05,,,COMPLETED,,,Private Event,,TRUE,TRUE,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-0dvg4bmj5tejvfs3592ptj76hq-google-com,0dvg4bmj5tejvfs3592ptj76hq@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Private Event,2024-04-06,,,COMPLETED,,,Private Event,,TRUE,TRUE,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-4dkbqt13mld4497alro2i03s4h-google-com,4dkbqt13mld4497alro2i03s4h@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Private Event,2024-05-31,,,COMPLETED,,,Private Event,,TRUE,TRUE,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-6l8m5ctacpj11uvb33h4fgbv82-google-com,6l8m5ctacpj11uvb33h4fgbv82@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Private Event,2024-06-01,,,COMPLETED,,,Private Event,,TRUE,TRUE,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-64pjaphhcphj6b9l6csjcb9k6cqj0b9o6dh3eb9kc5j38e9hclgjee9hcg-google-com,64pjaphhcphj6b9l6csjcb9k6cqj0b9o6dh3eb9kc5j38e9hclgjee9hcg@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Just Dee Dee,2024-07-18,6:00pm,8:00pm,COMPLETED,,,Just Dee Dee,,,,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-48c828q023d7a51bmc32fa35f6-google-com,48c828q023d7a51bmc32fa35f6@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Private Event,2024-08-24,9:00am,2:00pm,COMPLETED,,,Private Event - Tag Day,,TRUE,,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
jddm-web-events-4hejtvqrj33b4kt7m7og2tueql-google-com,4hejtvqrj33b4kt7m7og2tueql@google.com,jddm-web-events,JDDM Web Events,,Private Event,2024-08-24,9:00am,2:00pm,COMPLETED,,,JDDM Private Event,,TRUE,,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
justdeedeemusic-gmail-com-53g3p3r99djd13bac646oneev0-google-com,53g3p3r99djd13bac646oneev0@google.com,justdeedeemusic-gmail-com,justdeedeemusic@gmail.com,,Senior Night,2024-09-06,6:00pm,10:00pm,COMPLETED,,,Senior Night,,,,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics,2026-05-07T14:04:15.615Z,2026-05-07T14:04:15.615Z
