calendarEventId,sourceCalendarName,eventDate,eventTime,eventEndTime,status,venueName,summary,location,isPrivateEvent,isAllDay,sourceUrl
45ml7g6j966749fa3kmdpfkmk7@google.com,justdeedeemusic@gmail.com,2024-03-29,,,COMPLETED,Private Event,Private Event,,true,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
7r5ias9jnkv7k417hrmmhc2bko@google.com,justdeedeemusic@gmail.com,2024-03-30,,,COMPLETED,Private Event,Private Event,,true,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
0ag4harbb9v4jtoo2ms6m3genq@google.com,justdeedeemusic@gmail.com,2024-04-05,,,COMPLETED,Private Event,Private Event,,true,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
0dvg4bmj5tejvfs3592ptj76hq@google.com,justdeedeemusic@gmail.com,2024-04-06,,,COMPLETED,Private Event,Private Event,,true,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
4dkbqt13mld4497alro2i03s4h@google.com,justdeedeemusic@gmail.com,2024-05-31,,,COMPLETED,Private Event,Private Event,,true,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
6l8m5ctacpj11uvb33h4fgbv82@google.com,justdeedeemusic@gmail.com,2024-06-01,,,COMPLETED,Private Event,Private Event,,true,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
64pjaphhcphj6b9l6csjcb9k6cqj0b9o6dh3eb9kc5j38e9hclgjee9hcg@google.com,justdeedeemusic@gmail.com,2024-07-18,6:00pm,8:00pm,COMPLETED,Just Dee Dee,Just Dee Dee,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
48c828q023d7a51bmc32fa35f6@google.com,justdeedeemusic@gmail.com,2024-08-24,9:00am,2:00pm,COMPLETED,Private Event,Private Event - Tag Day,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
4hejtvqrj33b4kt7m7og2tueql@google.com,JDDM Web Events,2024-08-24,9:00am,2:00pm,COMPLETED,Private Event,JDDM Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
53g3p3r99djd13bac646oneev0@google.com,justdeedeemusic@gmail.com,2024-09-06,6:00pm,10:00pm,COMPLETED,Senior Night,Senior Night,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
1ngdetekfmm3rsmrn51bkl0oma@google.com,JDDM Web Events,2024-09-06,6:00pm,10:00pm,COMPLETED,Private Event,JDDM Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
3a5kn8dmn7jsai78048e13euom@google.com,justdeedeemusic@gmail.com,2024-09-08,2:00pm,3:00pm,COMPLETED,Parkside Villa,Parkside Villa,"7040 Hepburn Rd, Middleburg Heights, OH 44130",false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
1liu53gqcv48360l3app6lacot@google.com,JDDM Web Events,2024-09-08,2:00pm,3:00pm,COMPLETED,Private Event,JDDM Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
4rs44ufqmc8t6g9cjrgminrpip@google.com,JDDM Web Events,2024-09-28,3:00pm,6:00pm,COMPLETED,Private Event,JDDM Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
ot91ui5s5do22vb780avvla3mo@google.com,justdeedeemusic@gmail.com,2024-10-13,2:00pm,3:00pm,COMPLETED,Private Event,Emerald Solon Nursing Home private event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
b9k34v2a0jm5v74u9jnie3hamc@google.com,JDDM Web Events,2024-10-13,2:00pm,3:00pm,COMPLETED,Private Event,JDDM Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
1nq5re6tlvho1h2ms4ktl8ths8@google.com,justdeedeemusic@gmail.com,2024-10-29,3:00pm,4:00pm,COMPLETED,Legacy,Legacy,"7040 Hepburn Rd, Middleburg Heights, OH 44130",false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
4he16ibbvkbnaosnv27p6bql38@google.com,JDDM Web Events,2024-10-29,3:00pm,4:00pm,COMPLETED,Private Event,JDDM Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
691kl84gqr82ht60hspo3criph@google.com,justdeedeemusic@gmail.com,2024-11-02,12:00pm,4:00pm,COMPLETED,Amish Door Market,Amish Door Market,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
5dt69gjd41ocrbc24ek6fehak1@google.com,justdeedeemusic@gmail.com,2024-11-09,11:30am,1:00pm,COMPLETED,Seville's Christmas Preview,JustDeeDeeMusic Live @ Seville's Christmas Preview,"Seville, OH 44273, USA",false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
1td1dgqhcmejgg6ej1tncggkkb@google.com,justdeedeemusic@gmail.com,2024-11-17,2:00pm,3:00pm,COMPLETED,Private Event,Emerald Solon Nursing Home private event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
3qb1jppldhjqqoihiij5n1gk2o@google.com,JDDM Web Events,2024-11-17,2:00pm,3:00pm,COMPLETED,Private Event,JDDM Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
6344CD54-4DD3-4DD4-9F02-CED9E98729C0,justdeedeemusic@gmail.com,2024-11-20,7:00pm,9:00pm,COMPLETED,New Event Brighton Brewing,New Event Brighton Brewing,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
7tt1dvkb8gah0ahsttior4f9hv@google.com,justdeedeemusic@gmail.com,2024-11-29,6:00pm,9:00pm,COMPLETED,Madison Brewing,Madison Brewing,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
6dej1oglef90nrrp626gf74mqt@google.com,JDDM Web Events,2024-12-15,,,COMPLETED,JDDM 2024 Winter Tour; December 15th - December 30th,JDDM 2024 Winter Tour; December 15th - December 30th,,false,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
50i3rf8dbadrscgq8a3i5geth9@google.com,justdeedeemusic@gmail.com,2025-01-10,7:00pm,10:00pm,COMPLETED,ESP Brewing,ESP Brewing,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
6huhsf04mrhbbm404usvahak8s@google.com,justdeedeemusic@gmail.com,2025-01-11,6:00pm,9:00pm,COMPLETED,Halliday Winery,Halliday Winery,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
358kf0h8ic47da1a4s9p98htuj@google.com,justdeedeemusic@gmail.com,2025-01-19,2:00pm,5:00pm,COMPLETED,Das Weinhaus,Das Weinhaus,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
7gs166mmpp8t8b6dle8vtaiip9@google.com,justdeedeemusic@gmail.com,2025-01-24,7:00pm,10:00pm,COMPLETED,Via Roma,JustDeeDeeMusic Live @ Via Roma,"8922 Ridge Rd, North Royalton, OH 44133",false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
ss89m6h9ibkpp5co5iqjn3om5s@google.com,justdeedeemusic@gmail.com,2025-02-07,6:00pm,9:00pm,COMPLETED,Madison Brewing,Madison Brewing,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
55rql4dbhert8sscmfvjdkldck@google.com,justdeedeemusic@gmail.com,2025-02-08,7:00pm,10:00pm,COMPLETED,Brandon Dance,Brandon Dance,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
3te59i898vvltbrlmoqknji1lt@google.com,JDDM Web Events,2025-02-08,7:00pm,10:00pm,COMPLETED,Private Event,JDDM 2025 Scheduled Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
5ccdvlh65970f37nt48r3ai93m@google.com,justdeedeemusic@gmail.com,2025-02-16,2:00pm,6:00pm,COMPLETED,Das Weinhaus Open Mic,Das Weinhaus Open Mic,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
4gb29edejbsqaif7v6ribmjibc@google.com,justdeedeemusic@gmail.com,2025-02-22,7:00pm,10:00pm,COMPLETED,Brandon Dance,Brandon Dance,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
683ntm5ag7aoko388tvd6j5pig@google.com,JDDM Web Events,2025-02-22,7:00pm,10:00pm,COMPLETED,Private Event,JDDM 2025 Scheduled Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
3p2srbrh1ohcem3da1u5l0rvsh@google.com,justdeedeemusic@gmail.com,2025-02-28,7:00pm,10:00pm,COMPLETED,Via Roma,Via Roma,"8922 Ridge Rd, North Royalton, OH 44133",false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
18pgkgmme59qruib5n954jjgvt@google.com,justdeedeemusic@gmail.com,2025-03-07,7:00pm,10:00pm,COMPLETED,Village Inn,Village Inn,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
0652047E-BC04-49D7-A65A-0C8B8241844B,justdeedeemusic@gmail.com,2025-03-14,7:00pm,10:00pm,COMPLETED,Brighton Brewing,Brighton Brewing,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
0hv6ser6ifo3v8h1lakabi9q64@google.com,justdeedeemusic@gmail.com,2025-03-16,2:00pm,6:00pm,COMPLETED,Das Weinhaus Open Mic,Das Weinhaus Open Mic,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
6doav067b8n1flqpjnj067b61r@google.com,justdeedeemusic@gmail.com,2025-03-20,6:00pm,8:00pm,COMPLETED,New Berlin Brewing Co.,New Berlin Brewing Co.,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
13u9kq1il4stubbc374h6evid7@google.com,justdeedeemusic@gmail.com,2025-03-21,7:00pm,10:00pm,COMPLETED,Via Roma,Via Roma,"8922 Ridge Rd, North Royalton, OH 44133",false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
na5c4s11mkbfoq5jvp94005qg0@google.com,justdeedeemusic@gmail.com,2025-03-22,3:30pm,7:30pm,COMPLETED,Debonne,Debonne,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
61hu4e07js52dpsoj0b7m8skl0@google.com,JDDM Web Events,2025-03-23,,,COMPLETED,JDDM 2025 Spring Tour; March 23rd - March 30th,JDDM 2025 Spring Tour; March 23rd - March 30th,,false,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
2avpqtjfokbmtrd7lk1eer1o9e@google.com,justdeedeemusic@gmail.com,2025-04-04,6:00pm,9:00pm,COMPLETED,Mastropietro Winery,Mastropietro Winery,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
4k49ll2usekdnbufrq1it7569q@google.com,justdeedeemusic@gmail.com,2025-04-11,4:00pm,11:00pm,COMPLETED,Brandon Prom,Brandon Prom,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
2jjv8ndfnbj9pjc62gjq861m99@google.com,JDDM Web Events,2025-04-11,4:00pm,11:00pm,COMPLETED,Private Event,JDDM 2025 Scheduled Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
5617vb89315ouo2t0dmfs1qo4u@google.com,justdeedeemusic@gmail.com,2025-04-13,2:00pm,6:00pm,COMPLETED,Das Weinhaus Open Mic,Das Weinhaus Open Mic,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
30csongn7h5a13ornubpse8bd3@google.com,justdeedeemusic@gmail.com,2025-04-18,6:00pm,9:00pm,COMPLETED,Halliday Winery,Halliday Winery,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
3674ohp6qnasraompcocoiv16m@google.com,justdeedeemusic@gmail.com,2025-04-26,7:00pm,9:00pm,COMPLETED,North Water Brewing Company,North Water Brewing Company,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
2u05a3vpvn8no7ohv9vfnt039e@google.com,justdeedeemusic@gmail.com,2025-05-02,7:00pm,10:00pm,COMPLETED,Village Inn,Village Inn,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
i0uen1ctl02np4ppf6gb7aards@google.com,justdeedeemusic@gmail.com,2025-05-04,2:30pm,5:30pm,COMPLETED,Debonne,Debonne,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
1qq9mjjll19qmljk96h7fjf116@google.com,justdeedeemusic@gmail.com,2025-05-10,6:00pm,8:00pm,COMPLETED,White Timbers,White Timbers,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
u0gn6ipd2vmodkhrtibri5lohg@google.com,justdeedeemusic@gmail.com,2025-05-11,3:00pm,6:00pm,COMPLETED,Das Weinhaus,Das Weinhaus,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
3nhvne27dnsrfa05gjsutlfumf@google.com,justdeedeemusic@gmail.com,2025-05-18,2:00pm,6:00pm,COMPLETED,Das Weinhaus Open Mic,Das Weinhaus Open Mic,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
7b0nvbkef97u4gnatjceaae1uj@google.com,justdeedeemusic@gmail.com,2025-05-21,6:00pm,9:00pm,COMPLETED,Brandon Graduation,Brandon Graduation,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
5uj5r0evsf9fmpaqd5oqq46hm8@google.com,JDDM Web Events,2025-05-21,6:00pm,9:00pm,COMPLETED,Private Event,JDDM 2025 Scheduled Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
6pjjoiu85r9nle1pkdc2fad479@google.com,justdeedeemusic@gmail.com,2025-05-22,5:00pm,11:30pm,COMPLETED,Brandon Graduation,Brandon Graduation,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
6rfigohqd0uq3okniqvvdvca4a@google.com,JDDM Web Events,2025-05-22,5:00pm,11:30pm,COMPLETED,Private Event,JDDM 2025 Scheduled Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
6rid9hbi8eoa20k8hu2ijs2hte@google.com,justdeedeemusic@gmail.com,2025-05-31,1:00pm,4:00pm,COMPLETED,Day Dream Farm Winery,Day Dream Farm Winery,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
49ako0jvojomd9bc9ovicjuj7n@google.com,justdeedeemusic@gmail.com,2025-06-07,6:00pm,9:00pm,COMPLETED,Pint and Pie Works,Pint and Pie Works,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
2pm9miu9g9jlaaac49jrsear6r@google.com,justdeedeemusic@gmail.com,2025-06-08,1:00pm,4:00pm,COMPLETED,Brew Kettle Brunswick,Brew Kettle Brunswick,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
733d1oarsppi7d9s8p8t0lfjir@google.com,justdeedeemusic@gmail.com,2025-06-11,6:30pm,8:30pm,COMPLETED,Little Birdie Wine Nest,Little Birdie Wine Nest,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
853B6E99-8BA3-4C49-A5FF-88AAA1E5EB56,justdeedeemusic@gmail.com,2025-06-14,2:00pm,5:00pm,COMPLETED,Castaway Craigs - Lake Milton,Castaway Craigs - Lake Milton,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
hcobekjr7j07kqmptuqga6qisk@google.com,justdeedeemusic@gmail.com,2025-06-15,3:00pm,6:00pm,COMPLETED,Das Weinhaus,Das Weinhaus,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
1r4d1br7p5hn6domji9nefr53s@google.com,JDDM Web Events,2025-06-20,,,COMPLETED,JDDM 2025 Summer Tour; June 20th - July 6th,JDDM 2025 Summer Tour; June 20th - July 6th,,false,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
16l1qeond5s2i90vr2tijg1nh5@google.com,justdeedeemusic@gmail.com,2025-07-12,5:00pm,7:00pm,COMPLETED,Peninsula Coffee House and Market,Peninsula Coffee House and Market,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
30cbrbor5hlc47tliee7nc3ums@google.com,justdeedeemusic@gmail.com,2025-07-12,9:00am,12:00pm,COMPLETED,Seville Farmers Market,Seville Farmers Market,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
s7vo728cc4tdakvtl4t5d6g5b0@google.com,justdeedeemusic@gmail.com,2025-07-13,,,COMPLETED,Private Event,Private party,,true,true,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
87F5FE47-60DE-4BD2-9BFE-F20F09B2DA19,justdeedeemusic@gmail.com,2025-07-19,2:00pm,5:00pm,COMPLETED,Castaway Craigs - Lake Milton,Castaway Craigs - Lake Milton,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
1mso4k7smn96mgiub0grd09s5m@google.com,justdeedeemusic@gmail.com,2025-07-20,2:00pm,6:00pm,COMPLETED,Das Weinhaus,Das Weinhaus,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
3hqiavl6urrgn1bvf8qbib25n0@google.com,justdeedeemusic@gmail.com,2025-07-26,6:00pm,9:00pm,COMPLETED,Bummin' Beaver Brewery,Bummin' Beaver Brewery,"11610 E Washington St, Chagrin Falls, OH 44023",false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
0ue41qd5foabjbu696nv5rd95l@google.com,justdeedeemusic@gmail.com,2025-07-27,1:00pm,4:00pm,COMPLETED,Brew Kettle Brunswick,Brew Kettle Brunswick,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
1o37oqov62fmdb92r0r476676p@google.com,justdeedeemusic@gmail.com,2025-08-01,8:00pm,11:00pm,COMPLETED,Village Inn,Village Inn,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
7aqosovt6ih884tpnbipo2m4ft@google.com,justdeedeemusic@gmail.com,2025-08-09,11:00am,3:00pm,COMPLETED,Lorain Summer Market,Lorain Summer Market,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
5a4qrhi39af95d1d1u0knen45b@google.com,justdeedeemusic@gmail.com,2025-08-15,7:00pm,10:00pm,COMPLETED,Brighton Brewing,Brighton Brewing,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
6b119g9gsd59rkhsocjdgebck0@google.com,justdeedeemusic@gmail.com,2025-08-17,2:00pm,6:00pm,COMPLETED,Das Weinhaus,Das Weinhaus,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
2b2qs55he720h3ll9mep68h2el@google.com,justdeedeemusic@gmail.com,2025-08-20,6:00pm,9:00pm,COMPLETED,Styx,Styx,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
3q6l7tutdk2gu3ishe9s6sk5ho@google.com,JDDM Web Events,2025-08-20,6:00pm,9:00pm,COMPLETED,Private Event,JDDM 2025 Scheduled Private Event,,true,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/JDDM Web Events_051b2fd8ffc9844eed9867801c9a348f546e282a484f7a33f47543273162a7ba@group.calendar.google.com.ics
34n8jc8r805212u5dhedipp29f@google.com,justdeedeemusic@gmail.com,2025-08-22,6:00pm,9:00pm,COMPLETED,Old Fish House-Huron,Old Fish House-Huron,,false,false,/Users/carterswarm/Downloads/Google Calendar Export.ical/justdeedeemusic@gmail.com.ics
